Id,SalePrice
1461,115536.06382554027
1462,158509.67012517454
1463,183886.59423738337
1464,200662.83438033995
1465,193476.6718471403
1466,170906.59710205917
1467,182496.42751174516
1468,162366.91457280458
1469,198829.64657944322
1470,117866.31902065467
1471,197338.59844028452
1472,96356.704960131
1473,94250.36370251203
1474,145356.7482649202
1475,115537.9465362783
1476,343348.1847182251
1477,250628.25876559812
1478,287151.1489434564
1479,282709.8223416998
1480,475697.1491088208
1481,331216.1948942761
1482,218704.42949932907
1483,181152.47062184592
1484,164385.24262540002
1485,189142.58785780577
1486,197981.34876689067
1487,307092.1121496796
1488,245627.3681452659
1489,197281.44135899638
1490,234486.92506860348
1491,196024.9252553763
1492,87072.71859755761
1493,180205.57288525347
1494,292022.9159821864
1495,284337.1801711652
1496,229033.39729144494
1497,177880.8240450565
1498,162349.2510106345
1499,159585.7222709954
1500,150976.42769541158
1501,174024.94865890624
1502,144829.52256192808
1503,278255.121107767
1504,245258.39677370593
1505,229548.8924594383
1506,185827.0741329682
1507,259664.8599019169
1508,206834.93393687878
1509,161180.2196341988
1510,145314.45843596978
1511,147778.87114137443
1512,170226.80887042813
1513,138120.62113318374
1514,151899.62707304826
1515,203613.69550393432
1516,157015.40156494506
1517,171403.82064463152
1518,129066.9368750993
1519,214283.99919653492
1520,129457.6878838804
1521,130750.06736856698
1522,173915.68154539316
1523,109450.57416623458
1524,121405.61816302866
1525,124975.48322199701
1526,113490.16450103959
1527,103607.06107720488
1528,137659.07600333198
1529,151646.1644691654
1530,198227.07587012957
1531,106116.07088412164
1532,95669.61369873815
1533,151970.20632197216
1534,124881.02901837676
1535,158416.73331607753
1536,109075.81147971879
1537,67316.9701222533
1538,144124.47705432487
1539,187059.63460537625
1540,95132.25842483906
1541,145496.18047828082
1542,145584.76275116185
1543,193803.60557340996
1544,87571.76832575307
1545,121822.9757907029
1546,134754.15798406323
1547,137679.3535291211
1548,142685.16196328207
1549,121364.03509546729
1550,132523.41396603
1551,106344.49641377066
1552,137963.73943085724
1553,142433.6840314727
1554,116260.31594276453
1555,158900.69746243156
1556,86482.69098161683
1557,100416.70449605449
1558,100535.01255018493
1559,93207.47620479838
1560,135414.36505300362
1561,117153.68764855852
1562,133108.3266608037
1563,121512.96330036756
1564,156696.47472181733
1565,144484.88447971674
1566,257792.57692761355
1567,74671.12590161645
1568,237177.22953941388
1569,123463.10126744675
1570,137181.51208035916
1571,113096.19515315357
1572,146835.14755309827
1573,256551.7035363375
1574,119845.56306470535
1575,242965.9725360331
1576,249259.1346727943
1577,180632.90941269643
1578,136276.3813488847
1579,146369.8503969237
1580,194418.07463256305
1581,157652.72854410348
1582,122781.16408299142
1583,307517.69196633203
1584,221045.97934559302
1585,139635.9722105274
1586,68339.36147686747
1587,98031.98568679593
1588,155350.19622308752
1589,93158.04487188056
1590,135147.94049109682
1591,92973.83908334859
1592,111087.39455890015
1593,118497.728811913
1594,143003.39905611018
1595,121826.04037233973
1596,233645.72696976902
1597,202728.17433955244
1598,230282.22426806833
1599,175415.7799947401
1600,164063.83500999186
1601,63398.40467640519
1602,105841.22824625399
1603,81789.97926288909
1604,267369.72378906904
1605,243771.66210233478
1606,170981.9002752977
1607,167449.41611071024
1608,211761.04771694494
1609,183279.90138464645
1610,144694.85246830972
1611,132726.44162905338
